,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
18146,None,287.96,0.0,0.0,90,Drizzle,light intensity drizzle,9/10/2015 8:00,6222,very high
12676,None,262.15,0.0,0.0,90,Clouds,overcast clouds,3/4/2014 10:00,4239,medium
7256,None,300.96,5.84,0.0,44,Thunderstorm,thunderstorm with heavy rain,6/27/2013 14:00,5849,very high
3734,None,268.33,0.0,0.0,90,Clouds,overcast clouds,2/19/2013 14:00,5120,high
20023,None,274.15,0.0,0.0,90,Rain,light rain,12/16/2015 0:00,587,very low
41905,None,270.67,0.0,0.0,1,Fog,fog,2/27/2018 10:00,4349,medium
20119,None,272.49,0.0,0.0,90,Mist,mist,12/21/2015 1:00,345,very low
23413,None,280.36,0.0,0.0,40,Clouds,scattered clouds,5/17/2016 7:00,6807,very high
43773,None,284.15,0.0,0.0,40,Clouds,scattered clouds,5/3/2018 3:00,345,very low
38493,None,276.15,0.0,0.0,90,Rain,proximity shower rain,10/30/2017 13:00,4899,high
11690,None,247.48,0.0,0.0,1,Clear,sky is clear,1/23/2014 3:00,337,very low
27106,None,288.9,2.03,0.0,88,Rain,moderate rain,10/5/2016 1:00,314,very low
47521,None,288.06,0.0,0.0,1,Clear,sky is clear,9/8/2018 0:00,1131,very low
28103,None,279.15,0.0,0.0,40,Mist,mist,11/15/2016 10:00,4183,medium
23836,None,295.06,0.0,0.0,75,Clouds,broken clouds,5/31/2016 19:00,3192,medium
11225,None,260.45,0.0,0.0,64,Clouds,broken clouds,1/4/2014 17:00,4070,medium
764,None,273.08,0.0,0.0,40,Clouds,scattered clouds,10/30/2012 7:00,6728,very high
7251,None,297.81,0.0,0.0,44,Mist,mist,6/27/2013 9:00,5572,high
47031,None,291.01,0.76,0.0,90,Rain,light rain,8/25/2018 5:00,875,very low
47358,None,296.65,0.25,0.0,90,Rain,light rain,9/3/2018 15:00,4411,high
32637,None,282.34,0.0,0.0,90,Haze,haze,4/13/2017 13:00,5296,high
25606,None,302.58799999999997,0.0,0.0,20,Clouds,few clouds,8/9/2016 12:00,4478,high
33795,None,279.75,0.0,0.0,1,Clear,sky is clear,5/19/2017 3:00,375,very low
47605,None,297.91,0.0,0.0,1,Clear,sky is clear,9/11/2018 12:00,4734,high
1746,None,265.26,0.0,0.0,40,Clouds,scattered clouds,12/6/2012 5:00,2627,low
28212,None,273.62,0.0,0.0,90,Mist,mist,11/18/2016 17:00,4328,medium
22317,None,276.45,0.0,0.0,90,Rain,light rain,4/7/2016 20:00,2999,medium
34017,None,291.55,0.0,0.0,75,Rain,light rain,5/25/2017 21:00,2876,low
4640,None,271.77,0.0,0.0,75,Clouds,broken clouds,3/30/2013 4:00,339,very low
16176,None,293.76,0.0,0.0,1,Clear,sky is clear,7/1/2015 20:00,3144,medium
946,None,279.02,0.0,0.0,90,Mist,mist,11/6/2012 20:00,2450,low
45125,None,290.87,0.0,0.0,90,Rain,light rain,6/19/2018 10:00,4244,medium
5570,None,277.85,0.0,0.0,20,Clouds,few clouds,4/28/2013 6:00,878,very low
23271,None,284.12,0.0,0.0,75,Fog,fog,5/11/2016 23:00,1075,very low
14240,None,291.79,0.51,0.0,40,Thunderstorm,thunderstorm,5/11/2014 21:00,2616,low
29665,None,271.71,0.0,0.0,75,Clouds,broken clouds,1/1/2017 15:00,3585,medium
10498,None,252.97,0.0,0.0,40,Clouds,scattered clouds,12/8/2013 2:00,541,very low
47995,None,287.22,0.0,0.0,75,Clouds,broken clouds,9/22/2018 22:00,2480,low
36598,None,292.8,0.0,0.0,90,Thunderstorm,proximity thunderstorm,8/25/2017 19:00,3715,medium
39295,None,286.94,0.0,0.0,1,Clear,sky is clear,11/27/2017 17:00,5937,very high
4959,None,274.62,0.0,0.0,90,Rain,light rain,4/10/2013 10:00,4366,medium
25436,None,302.78,0.0,0.0,40,Thunderstorm,thunderstorm,8/2/2016 14:00,4923,high
35587,None,298.09,0.0,0.0,5,Clear,sky is clear,7/22/2017 22:00,3156,medium
28135,None,288.68,0.0,0.0,20,Clouds,few clouds,11/16/2016 15:00,5317,high
22507,None,291.22,0.0,0.0,1,Clear,sky is clear,4/17/2016 1:00,830,very low
47788,None,288.21,3.18,0.0,20,Rain,moderate rain,9/18/2018 5:00,3027,medium
27820,None,277.28,0.0,0.0,1,Mist,mist,11/4/2016 8:00,5310,high
34091,None,288.71,0.0,0.0,40,Rain,light rain,5/28/2017 21:00,2736,low
19399,None,279.01,0.0,0.0,1,Clear,sky is clear,11/10/2015 3:00,303,very low
31866,None,272.65,0.0,0.0,1,Clear,sky is clear,3/19/2017 8:00,2025,low
30505,None,271.22,0.0,0.0,90,Mist,mist,1/26/2017 5:00,2720,low
13543,None,291.03,0.0,0.0,75,Clouds,broken clouds,4/9/2014 20:00,2903,low
3644,None,266.1,0.0,0.0,40,Clouds,scattered clouds,2/15/2013 20:00,3070,medium
48093,None,286.88,0.0,0.0,75,Clouds,broken clouds,9/26/2018 13:00,4624,high
4045,None,269.09,0.0,0.0,40,Clouds,scattered clouds,3/3/2013 19:00,2890,low
29164,None,257.07,0.0,0.0,90,Snow,light snow,12/15/2016 23:00,1229,very low
1033,None,282.16,0.0,0.0,75,Clouds,broken clouds,11/9/2012 11:00,5304,high
14236,None,293.39,0.0,0.0,90,Clouds,overcast clouds,5/11/2014 18:00,3989,medium
6534,None,294.76,0.0,0.0,40,Clouds,scattered clouds,5/30/2013 20:00,3109,medium
27531,None,283.607,0.0,0.0,0,Clear,Sky is Clear,10/23/2016 11:00,3959,medium
32641,None,283.4,0.0,0.0,90,Haze,haze,4/13/2017 15:00,5914,very high
46096,None,289.82,0.0,0.0,1,Mist,mist,7/23/2018 5:00,3008,medium
422,None,281.51,0.0,0.0,90,Clouds,overcast clouds,10/19/2012 13:00,4908,high
26993,None,283.68,0.0,0.0,0,Clear,Sky is Clear,9/30/2016 8:00,5267,high
4248,None,273.77,0.0,0.0,90,Clouds,overcast clouds,3/11/2013 16:00,6330,very high
26620,None,285.26,0.0,0.0,1,Clear,sky is clear,9/15/2016 3:00,359,very low
24826,None,294.36,0.0,0.0,75,Thunderstorm,proximity thunderstorm,7/10/2016 4:00,541,very low
2507,None,264.45,0.0,0.0,90,Clouds,overcast clouds,12/30/2012 1:00,752,very low
24192,None,290.72,0.0,0.0,92,Rain,moderate rain,6/14/2016 22:00,1870,low
25718,None,289.48,0.0,0.0,32,Clouds,scattered clouds,8/14/2016 4:00,294,very low
35603,None,296.02,0.0,0.0,75,Clouds,broken clouds,7/23/2017 14:00,4245,medium
11994,None,256.56,0.0,0.0,40,Clouds,scattered clouds,2/4/2014 3:00,340,very low
33059,None,279.3,0.0,0.0,90,Drizzle,drizzle,4/26/2017 3:00,344,very low
844,None,280.0,0.0,0.0,40,Clouds,scattered clouds,11/2/2012 15:00,6093,very high
37119,None,292.75,0.0,0.0,1,Mist,mist,9/13/2017 1:00,377,very low
46519,None,297.36,0.0,0.0,75,Clouds,broken clouds,8/7/2018 17:00,5656,high
37902,None,280.62,0.0,0.0,90,Rain,light rain,10/9/2017 20:00,2400,low
22725,None,284.34,4.06,0.0,90,Thunderstorm,thunderstorm with light rain,4/24/2016 9:00,2907,low
37992,None,283.42,0.0,0.0,90,Thunderstorm,proximity thunderstorm,10/13/2017 11:00,5113,high
19047,None,273.16,0.0,0.0,1,Clear,sky is clear,10/17/2015 6:00,1203,very low
8049,None,297.19,0.0,0.0,0,Clear,Sky is Clear,7/30/2013 17:00,6760,very high
10947,None,263.33,0.0,0.0,64,Snow,snow,12/25/2013 7:00,538,very low
13178,None,267.4,0.0,0.0,40,Clouds,scattered clouds,3/25/2014 14:00,5325,high
29337,None,275.28,0.0,0.0,40,Clouds,scattered clouds,12/21/2016 20:00,2722,low
37888,None,280.51,0.0,0.0,1,Clear,sky is clear,10/9/2017 6:00,5628,high
34181,None,293.96,0.0,0.0,5,Clear,sky is clear,6/1/2017 11:00,4909,high
32521,None,279.95,0.0,0.0,75,Clouds,broken clouds,4/10/2017 8:00,6139,very high
45070,None,294.92,0.0,0.0,90,Rain,heavy intensity rain,6/18/2018 2:00,272,very low
20220,None,270.69,0.0,0.0,90,Snow,snow,12/26/2015 7:00,1057,very low
10526,None,260.5,0.25,0.0,64,Mist,mist,12/8/2013 20:00,2926,medium
22008,None,274.72,0.0,0.0,1,Clear,sky is clear,3/24/2016 11:00,4670,high
3302,None,254.46,0.0,0.0,56,Clouds,broken clouds,2/2/2013 13:00,4901,high
25490,None,301.02,0.0,0.0,32,Rain,light rain,8/4/2016 16:00,6056,very high
9203,None,292.15,0.0,0.0,1,Clear,sky is clear,9/29/2013 19:00,3837,medium
28008,None,271.54,0.0,0.0,1,Clear,sky is clear,11/12/2016 1:00,605,very low
15484,None,292.28,0.0,0.0,12,Clouds,few clouds,7/13/2014 22:00,2049,low
18795,None,288.27,0.0,0.0,90,Clouds,overcast clouds,10/5/2015 14:00,5314,high
31316,None,271.27,0.0,0.0,40,Snow,light snow,2/26/2017 10:00,3659,medium
25569,None,292.29,0.0,0.0,0,Clear,Sky is Clear,8/7/2016 23:00,1702,low
39763,None,266.74,0.0,0.0,90,Snow,light snow,12/14/2017 12:00,5058,high
44593,None,291.88,0.0,0.0,40,Clouds,scattered clouds,6/1/2018 10:00,4739,high
17001,None,297.79,0.0,0.0,1,Clear,sky is clear,7/31/2015 11:00,5128,high
24518,None,290.41,0.0,0.0,20,Clouds,few clouds,6/28/2016 9:00,4779,high
35581,None,303.93,0.0,0.0,40,Clouds,scattered clouds,7/22/2017 16:00,4569,high
27892,None,282.7,0.0,0.0,40,Clouds,scattered clouds,11/7/2016 6:00,5671,high
10398,None,271.53,1.27,0.0,90,Snow,light snow,12/4/2013 9:00,3876,medium
4271,None,267.67,0.0,0.0,90,Clouds,overcast clouds,3/13/2013 9:00,5201,high
39061,None,274.79,0.0,0.0,90,Mist,mist,11/18/2017 1:00,709,very low
6148,None,286.52,0.0,0.0,90,Rain,moderate rain,5/19/2013 7:00,1120,very low
42097,None,271.36,0.0,0.0,90,Snow,light snow,3/5/2018 23:00,599,very low
45529,None,294.02,0.0,0.0,1,Drizzle,light intensity drizzle,7/3/2018 8:00,5017,high
6349,None,283.43,0.0,0.0,90,Drizzle,light intensity drizzle,5/23/2013 20:00,2531,low
21042,None,267.79,0.0,0.0,90,Haze,haze,2/4/2016 12:00,4422,high
16711,None,295.12,0.0,0.0,1,Clear,sky is clear,7/20/2015 2:00,316,very low
9326,None,283.29,0.0,0.0,90,Drizzle,heavy intensity drizzle,10/6/2013 16:00,5375,high
29982,None,257.34,0.0,0.0,90,Clouds,overcast clouds,1/12/2017 4:00,843,very low
45255,None,299.29,0.0,0.0,1,Clear,sky is clear,6/23/2018 14:00,4620,high
39196,None,280.01,0.0,0.0,40,Clouds,scattered clouds,11/23/2017 16:00,3212,medium
21513,None,272.61,0.0,0.0,75,Clouds,broken clouds,2/26/2016 11:00,5425,high
15739,None,291.02,4.18,0.0,90,Mist,mist,7/25/2014 6:00,4972,high
1605,None,274.06,0.0,0.0,90,Mist,mist,12/1/2012 11:00,4618,high
23113,None,292.97,0.0,0.0,75,Clouds,broken clouds,5/7/2016 14:00,4956,high
2678,None,260.92,0.0,0.0,1,Clear,sky is clear,1/4/2013 19:00,3135,medium
38602,None,274.42,0.0,0.0,1,Clear,sky is clear,11/3/2017 1:00,432,very low
11973,None,255.51,0.0,0.0,1,Clear,sky is clear,2/3/2014 6:00,5311,high
6490,None,285.25,0.0,0.0,90,Mist,mist,5/29/2013 9:00,5195,high
29783,None,251.89,0.0,0.0,1,Haze,haze,1/5/2017 6:00,5242,high
12104,None,263.26,0.0,0.0,90,Clouds,overcast clouds,2/8/2014 17:00,4457,high
31340,None,272.82,0.0,0.0,75,Clouds,broken clouds,2/27/2017 10:00,4397,high
17215,None,299.17,0.0,0.0,40,Clouds,scattered clouds,8/8/2015 16:00,4479,high
28795,None,272.59,0.0,0.0,90,Snow,light snow,12/4/2016 2:00,491,very low
33980,None,284.21,0.0,0.0,75,Clouds,broken clouds,5/24/2017 10:00,4398,high
18031,None,300.53,0.3,0.0,40,Rain,light rain,9/6/2015 16:00,3978,medium
9609,None,274.5,0.0,0.0,40,Clouds,scattered clouds,10/21/2013 19:00,3154,medium
13194,None,262.67,0.0,0.0,75,Clouds,broken clouds,3/26/2014 6:00,5705,high
24394,None,287.8,0.0,0.0,68,Clouds,broken clouds,6/23/2016 8:00,5991,very high
21871,None,277.22,0.0,0.0,90,Rain,moderate rain,3/17/2016 13:00,5501,high
41318,None,255.08,0.0,0.0,1,Snow,light snow,2/7/2018 7:00,4967,high
24372,None,297.8,0.0,0.0,44,Clouds,scattered clouds,6/22/2016 10:00,4728,high
34591,None,294.97,0.0,0.0,1,Clear,sky is clear,6/16/2017 22:00,1688,low
1648,None,279.0,0.0,0.0,90,Haze,haze,12/2/2012 18:00,3243,medium
41554,None,265.15,0.0,0.0,75,Clouds,broken clouds,2/16/2018 17:00,5731,high
31347,None,279.03,0.0,0.0,75,Clouds,broken clouds,2/27/2017 17:00,6028,very high
45373,None,297.81,0.0,0.0,75,Clouds,broken clouds,6/27/2018 15:00,5867,very high
12058,None,255.82,0.0,0.0,90,Clouds,overcast clouds,2/6/2014 19:00,3087,medium
20964,None,272.28,0.0,0.0,90,Mist,mist,2/1/2016 17:00,6071,very high
8508,None,290.04,0.0,0.0,0,Clear,Sky is Clear,8/19/2013 4:00,859,very low
39428,None,272.72,0.0,0.0,1,Clear,sky is clear,12/3/2017 6:00,813,very low
13398,None,272.77,0.51,0.0,90,Rain,light rain,4/3/2014 19:00,2472,low
9157,None,300.7,0.0,0.0,24,Clouds,few clouds,9/27/2013 17:00,6162,very high
1147,None,267.27,0.0,0.0,90,Snow,heavy snow,11/12/2012 23:00,2409,low
32169,None,286.97,0.0,0.0,1,Clear,sky is clear,3/28/2017 20:00,3035,medium
26654,None,289.49,0.0,0.0,40,Fog,fog,9/16/2016 3:00,358,very low
24828,None,293.07,6.48,0.0,75,Rain,heavy intensity rain,7/10/2016 5:00,980,very low
11521,None,272.18,0.25,0.0,64,Rain,light rain,1/16/2014 8:00,5568,high
14907,None,290.45,0.0,0.0,1,Clear,sky is clear,6/5/2014 5:00,3054,medium
44138,None,289.0,0.0,0.0,5,Clear,sky is clear,5/16/2018 8:00,5293,high
8204,None,294.82,0.0,0.0,8,Clear,sky is clear,8/5/2013 14:00,5340,high
31499,None,275.78,0.0,0.0,1,Clear,sky is clear,3/5/2017 4:00,491,very low
31114,None,282.231,0.0,0.0,32,Clouds,scattered clouds,2/18/2017 17:00,4871,high
21502,None,273.15,0.0,0.0,90,Clouds,overcast clouds,2/25/2016 16:00,7118,very high
30154,None,274.42,0.0,0.0,90,Mist,mist,1/17/2017 16:00,6184,very high
32218,None,278.08,0.0,0.0,90,Clouds,overcast clouds,3/30/2017 11:00,4938,high
22569,None,283.3,0.0,0.0,90,Drizzle,drizzle,4/19/2016 9:00,5582,high
43040,None,271.89,0.0,0.0,90,Mist,mist,4/8/2018 17:00,3687,medium
11808,None,247.15,0.0,0.0,1,Clear,sky is clear,1/27/2014 9:00,3570,medium
28061,None,278.29,0.0,0.0,1,Clear,sky is clear,11/14/2016 6:00,5746,high
15037,None,287.92,0.25,0.0,92,Drizzle,light intensity drizzle,6/9/2014 8:00,5713,high
47904,None,288.71,0.86,0.0,90,Drizzle,drizzle,9/20/2018 10:00,4326,medium
33298,None,277.15,0.0,0.0,90,Drizzle,drizzle,5/2/2017 5:00,2858,low
34700,None,286.87,0.0,0.0,1,Clear,sky is clear,6/21/2017 1:00,450,very low
9825,None,274.24,0.0,0.0,64,Clouds,broken clouds,11/13/2013 10:00,4445,high
8368,None,297.62,0.0,0.0,56,Clouds,broken clouds,8/12/2013 14:00,5555,high
9387,None,289.38,0.0,0.0,1,Clear,sky is clear,10/9/2013 21:00,2517,low
12387,None,274.65,0.0,0.0,90,Clouds,overcast clouds,2/20/2014 12:00,4511,high
16949,None,291.28,0.0,0.0,1,Clear,sky is clear,7/29/2015 5:00,2951,medium
33921,None,280.48,0.0,0.0,90,Drizzle,drizzle,5/22/2017 3:00,367,very low
27194,None,279.66900000000004,0.0,0.0,0,Clear,Sky is Clear,10/8/2016 17:00,4980,high
12010,None,257.76,0.0,0.0,90,Clouds,overcast clouds,2/4/2014 19:00,2862,low
30549,None,269.43,0.0,0.0,1,Clear,sky is clear,1/28/2017 1:00,676,very low
2931,None,259.45,0.0,0.0,90,Snow,heavy snow,1/14/2013 16:00,6414,very high
34629,None,288.75,0.0,0.0,40,Clouds,scattered clouds,6/18/2017 5:00,647,very low
41716,None,257.28,0.0,0.0,1,Clear,sky is clear,2/22/2018 6:00,5466,high
34093,None,286.35,0.0,0.0,75,Rain,moderate rain,5/28/2017 22:00,2472,low
3969,None,271.04,0.0,0.0,90,Clouds,overcast clouds,2/28/2013 6:00,5853,very high
26656,None,289.62,0.0,0.0,75,Mist,mist,9/16/2016 5:00,2707,low
5339,None,271.86,0.0,0.0,90,Mist,mist,4/20/2013 9:00,3745,medium
31981,None,276.62,0.0,0.0,90,Rain,light rain,3/23/2017 20:00,3021,medium
13730,None,277.18,2.21,0.0,75,Rain,moderate rain,4/17/2014 15:00,6023,very high
11172,None,248.78,0.0,0.0,5,Clear,sky is clear,1/2/2014 20:00,2225,low
45836,None,291.84,0.0,0.0,90,Fog,fog,7/14/2018 4:00,444,very low
27203,None,272.439,0.0,0.0,0,Clear,Sky is Clear,10/9/2016 2:00,686,very low
32043,None,275.72,0.0,0.0,90,Clouds,overcast clouds,3/25/2017 5:00,618,very low
34225,None,295.02,0.0,0.0,1,Clear,sky is clear,6/3/2017 7:00,1683,low
38117,None,291.52,0.0,0.0,20,Clouds,few clouds,10/17/2017 19:00,3550,medium
43425,None,269.35,0.0,0.0,1,Clear,sky is clear,4/19/2018 5:00,2885,low
1664,None,271.65,0.0,0.0,20,Mist,mist,12/3/2012 4:00,802,very low
30748,None,262.35,0.0,0.0,1,Clear,sky is clear,2/4/2017 0:00,1854,low
19364,None,281.79,0.0,0.0,40,Clouds,scattered clouds,11/7/2015 14:00,4490,high
44524,None,294.58,0.0,0.0,90,Rain,light rain,5/30/2018 12:00,4923,high
9236,None,286.77,2.03,0.0,92,Mist,mist,10/3/2013 12:00,5339,high
28207,None,273.84,0.0,0.0,90,Snow,heavy snow,11/18/2016 16:00,5074,high
43304,None,269.22,0.0,0.0,90,Fog,fog,4/15/2018 7:00,634,very low
1071,None,279.87,0.0,0.0,90,Drizzle,light intensity drizzle,11/11/2012 1:00,922,very low
30540,None,272.64,0.0,0.0,1,Clear,sky is clear,1/27/2017 16:00,6261,very high
39523,None,265.88,0.0,0.0,75,Haze,haze,12/5/2017 13:00,4158,medium
23092,None,290.67,0.0,0.0,90,Haze,haze,5/7/2016 1:00,890,very low
6807,None,289.11,0.0,0.0,88,Clouds,overcast clouds,6/8/2013 21:00,3041,medium
24961,None,288.494,0.0,0.0,92,Clouds,overcast clouds,7/15/2016 7:00,5812,high
35205,None,300.55,0.0,0.0,1,Clear,sky is clear,7/9/2017 17:00,4107,medium
15281,None,301.93,0.0,0.0,40,Clouds,scattered clouds,7/6/2014 13:00,3919,medium
22358,None,272.9,0.0,0.0,75,Clouds,broken clouds,4/9/2016 12:00,5108,high
1292,None,282.54,0.0,0.0,90,Clouds,overcast clouds,11/19/2012 1:00,311,very low
44221,None,287.36,0.0,0.0,90,Clouds,overcast clouds,5/19/2018 16:00,4398,high
12538,None,265.7,0.0,0.0,40,Clouds,scattered clouds,2/26/2014 16:00,5783,high
31041,None,273.939,0.0,0.0,0,Clear,Sky is Clear,2/15/2017 16:00,6601,very high
21787,None,284.84,0.0,0.0,90,Mist,mist,3/14/2016 13:00,4820,high
13063,None,278.37,0.0,0.0,20,Clouds,few clouds,3/20/2014 19:00,3630,medium
28839,None,270.51,0.0,0.0,1,Mist,mist,12/5/2016 6:00,5573,high
18191,None,280.61,0.0,0.0,1,Fog,fog,9/12/2015 3:00,196,very low
34067,None,290.15,0.0,0.0,1,Clear,sky is clear,5/27/2017 23:00,2143,low
36001,None,295.01,0.0,0.0,75,Thunderstorm,thunderstorm with light rain,8/6/2017 17:00,4073,medium
35632,None,297.75,0.0,0.0,75,Clouds,broken clouds,7/24/2017 16:00,6359,very high
27155,None,277.867,0.0,0.0,92,Rain,moderate rain,10/7/2016 2:00,264,very low
3369,None,257.88,0.0,0.0,1,Clear,sky is clear,2/5/2013 10:00,4364,medium
10138,None,270.39,0.0,0.0,64,Snow,light snow,11/26/2013 3:00,343,very low
22027,None,280.48,0.0,0.0,1,Clear,sky is clear,3/25/2016 13:00,5553,high
21930,None,269.79,0.0,0.0,1,Clear,sky is clear,3/20/2016 5:00,606,very low
22762,None,284.79,1.4,0.0,75,Thunderstorm,proximity thunderstorm,4/24/2016 22:00,1609,low
33457,None,292.62,0.0,0.0,90,Drizzle,light intensity drizzle,5/8/2017 18:00,4375,high
28076,None,278.72,0.0,0.0,75,Mist,mist,11/14/2016 21:00,1903,low
47095,None,298.39,1.02,0.0,90,Thunderstorm,proximity thunderstorm,8/26/2018 13:00,4494,high
33381,None,295.7,0.0,0.0,1,Clear,sky is clear,5/5/2017 14:00,5400,high
7717,None,303.15,0.0,0.0,0,Clear,Sky is Clear,7/16/2013 13:00,5176,high
18725,None,278.92,0.0,0.0,1,Clear,sky is clear,10/2/2015 3:00,411,very low
19769,None,274.08,0.0,0.0,90,Snow,light snow,12/1/2015 6:00,5418,high
19960,None,277.01,0.0,0.0,90,Mist,mist,12/13/2015 1:00,780,very low
1750,None,267.26,0.0,0.0,75,Clouds,broken clouds,12/6/2012 9:00,5391,high
10107,None,274.15,0.0,0.0,1,Clear,sky is clear,11/24/2013 16:00,4148,medium
37901,None,281.65,0.0,0.0,90,Rain,light rain,10/9/2017 19:00,3108,medium
31903,None,278.26,0.0,0.0,1,Clear,sky is clear,3/20/2017 21:00,2185,low
10093,None,258.39,0.0,0.0,1,Clear,sky is clear,11/24/2013 2:00,558,very low
39959,None,265.86,0.0,0.0,90,Clouds,overcast clouds,12/21/2017 0:00,621,very low
18732,None,288.76,0.0,0.0,1,Clear,sky is clear,10/2/2015 14:00,6047,very high
30163,None,271.72,0.0,0.0,40,Fog,fog,1/17/2017 22:00,2885,low
3202,None,268.49,0.0,0.0,90,Clouds,overcast clouds,1/28/2013 1:00,273,very low
22435,None,291.02,0.0,0.0,5,Clear,sky is clear,4/13/2016 15:00,6147,very high
8935,None,287.13,0.0,0.0,90,Rain,heavy intensity rain,9/14/2013 20:00,2939,medium
20009,None,272.72,0.0,0.0,90,Mist,mist,12/15/2015 6:00,6054,very high
39779,None,268.15,0.0,0.0,90,Snow,light snow,12/15/2017 3:00,387,very low
26635,None,291.94,4.74,0.0,75,Mist,mist,9/15/2016 17:00,5272,high
1779,None,278.68,0.0,0.0,40,Clouds,scattered clouds,12/7/2012 14:00,5918,very high
10793,None,264.39,0.0,0.0,64,Clouds,broken clouds,12/19/2013 10:00,4865,high
1175,None,265.94,0.0,0.0,1,Clear,sky is clear,11/14/2012 2:00,252,very low
2080,None,275.44,0.0,0.0,90,Mist,mist,12/16/2012 14:00,3547,medium
36764,None,299.72,0.0,0.0,90,Rain,proximity shower rain,8/30/2017 15:00,6265,very high
19348,None,278.58,0.0,0.0,90,Clouds,overcast clouds,11/6/2015 9:00,5087,high
3474,None,270.21,0.0,0.0,90,Haze,haze,2/10/2013 8:00,1426,very low
42349,None,270.77,0.0,0.0,1,Clear,sky is clear,3/15/2018 6:00,4965,high
39787,None,268.01,0.0,0.0,75,Clouds,broken clouds,12/15/2017 11:00,5342,high
19180,None,281.29,0.0,0.0,90,Mist,mist,10/28/2015 4:00,910,very low
42285,None,275.15,0.0,0.0,1,Clear,sky is clear,3/12/2018 13:00,4748,high
18352,None,295.86,1.52,0.0,90,Mist,mist,9/17/2015 14:00,5182,high
3099,None,248.14,0.0,0.0,25,Clouds,few clouds,1/22/2013 4:00,719,very low
15912,None,294.48,0.0,0.0,1,Clear,sky is clear,8/5/2014 10:00,4808,high
41816,None,270.55,0.0,0.0,90,Snow,snow,2/24/2018 17:00,2709,low
46474,None,291.51,0.0,0.0,90,Fog,fog,8/6/2018 5:00,3047,medium
43164,None,278.22,0.0,0.0,1,Clear,sky is clear,4/12/2018 22:00,2053,low
19227,None,279.68,0.0,0.0,90,Drizzle,drizzle,10/29/2015 10:00,4518,high
11957,None,261.96,0.0,0.0,1,Clear,sky is clear,2/2/2014 14:00,3944,medium
12366,None,276.43,0.0,0.0,75,Clouds,broken clouds,2/19/2014 15:00,5928,very high
24577,None,296.13,0.0,0.0,20,Clouds,few clouds,6/30/2016 19:00,3321,medium
32124,None,275.95,0.0,0.0,90,Rain,light rain,3/27/2017 5:00,2711,low
4973,None,278.33,0.0,0.0,90,Clouds,overcast clouds,4/10/2013 19:00,3172,medium
6111,None,286.98,0.0,0.0,90,Clouds,overcast clouds,5/18/2013 10:00,3696,medium
24122,None,295.8,0.0,0.0,0,Clear,Sky is Clear,6/12/2016 0:00,1669,low
39778,None,268.02,0.0,0.0,90,Snow,light snow,12/15/2017 2:00,358,very low
29822,None,257.49,0.0,0.0,40,Clouds,scattered clouds,1/6/2017 17:00,5790,high
6046,None,307.66,0.0,0.0,1,Clear,sky is clear,5/15/2013 18:00,4858,high
39406,None,269.41,0.0,0.0,20,Clouds,few clouds,12/2/2017 8:00,3343,medium
16446,None,301.46,0.0,0.0,1,Clear,sky is clear,7/10/2015 17:00,5549,high
23543,None,301.48,0.0,0.0,75,Clouds,broken clouds,5/22/2016 17:00,4093,medium
46929,None,299.98,0.0,0.0,40,Clouds,scattered clouds,8/22/2018 17:00,5819,high
24511,None,289.84,0.0,0.0,90,Clouds,overcast clouds,6/28/2016 2:00,316,very low
48203,None,282.12,0.0,0.0,90,Clouds,overcast clouds,9/30/2018 23:00,954,very low
43148,None,274.31,0.0,0.0,20,Mist,mist,4/12/2018 6:00,5772,high
47655,None,298.56,0.0,0.0,20,Clouds,few clouds,9/13/2018 12:00,4851,high
16134,None,289.8,0.0,0.0,40,Mist,mist,6/30/2015 2:00,327,very low
8316,None,290.06,0.0,0.0,20,Clouds,few clouds,8/10/2013 9:00,3516,medium
39887,None,270.22,0.0,0.0,40,Mist,mist,12/18/2017 4:00,905,very low
32663,None,286.59,0.0,0.0,40,Haze,haze,4/14/2017 12:00,5598,high
37475,None,287.48,0.0,0.0,90,Drizzle,drizzle,9/26/2017 3:00,308,very low
44014,None,283.08,0.0,0.0,90,Clouds,overcast clouds,5/12/2018 1:00,642,very low
16442,None,301.17,0.0,0.0,40,Clouds,scattered clouds,7/10/2015 13:00,5161,high
27334,None,292.399,0.0,0.0,0,Clear,Sky is Clear,10/14/2016 16:00,6047,very high
33560,None,291.08,0.0,0.0,20,Clouds,few clouds,5/12/2017 11:00,5267,high
44121,None,295.75,0.0,0.0,5,Clear,sky is clear,5/15/2018 15:00,6033,very high
26828,None,293.57,0.0,0.0,36,Clouds,scattered clouds,9/23/2016 12:00,4500,high
14874,None,296.42,0.0,0.0,1,Clear,sky is clear,6/3/2014 16:00,6729,very high
19782,None,272.22,0.0,0.0,90,Snow,light snow,12/1/2015 20:00,2534,low
7910,None,295.09,0.0,0.0,0,Clear,Sky is Clear,7/24/2013 20:00,3156,medium
2103,None,274.33,0.0,0.0,90,Rain,light rain,12/16/2012 20:00,2186,low
4186,None,274.65,0.0,0.0,75,Mist,mist,3/10/2013 0:00,1087,very low
2342,None,260.84,0.0,0.0,75,Clouds,broken clouds,12/24/2012 6:00,1940,low
13263,None,267.96,0.0,0.0,1,Clear,sky is clear,3/29/2014 3:00,386,very low
