1335,grated cheese,pepper,spaghetti,escalope,,,,,,,,,,,,,,,,
7075,eggs,escalope,,,,,,,,,,,,,,,,,,
5042,mineral water,eggs,low fat yogurt,,,,,,,,,,,,,,,,,
7398,cookies,,,,,,,,,,,,,,,,,,,
1441,frozen vegetables,mineral water,almonds,bacon,eggs,barbecue sauce,,,,,,,,,,,,,,
7184,mineral water,milk,cake,brownies,,,,,,,,,,,,,,,,
3814,herb & pepper,spaghetti,butter,cooking oil,frozen smoothie,low fat yogurt,honey,,,,,,,,,,,,,
6022,mineral water,butter,spinach,extra dark chocolate,antioxydant juice,sparkling water,light mayo,,,,,,,,,,,,,
6761,meatballs,whole wheat rice,cake,,,,,,,,,,,,,,,,,
6388,tomatoes,,,,,,,,,,,,,,,,,,,
4660,chocolate,cider,muffins,eggs,french fries,cottage cheese,pancakes,gluten free bar,,,,,,,,,,,,
5524,extra dark chocolate,french fries,green tea,,,,,,,,,,,,,,,,,
747,french fries,green tea,,,,,,,,,,,,,,,,,,
5703,tomatoes,mineral water,chocolate,avocado,pancakes,rice,chicken,hot dogs,,,,,,,,,,,,
339,spaghetti,yams,butter,chocolate,,,,,,,,,,,,,,,,
5531,grated cheese,ground beef,energy bar,honey,chicken,,,,,,,,,,,,,,,
1795,eggs,whole weat flour,eggplant,strawberries,low fat yogurt,,,,,,,,,,,,,,,
7317,parmesan cheese,whole wheat pasta,meatballs,milk,mint,,,,,,,,,,,,,,,
2963,energy bar,salmon,green tea,french fries,frozen smoothie,magazines,,,,,,,,,,,,,,
1545,frozen vegetables,mineral water,chocolate,whole wheat rice,,,,,,,,,,,,,,,,
1805,tomatoes,spaghetti,mineral water,milk,energy bar,spinach,eggs,frozen smoothie,,,,,,,,,,,,
5166,frozen vegetables,spaghetti,low fat yogurt,,,,,,,,,,,,,,,,,
1766,escalope,,,,,,,,,,,,,,,,,,,
1991,turkey,shrimp,frozen vegetables,spaghetti,mineral water,toothpaste,,,,,,,,,,,,,,
6937,turkey,ground beef,salmon,honey,,,,,,,,,,,,,,,,
6353,tomatoes,eggs,,,,,,,,,,,,,,,,,,
5580,energy bar,chicken,eggs,,,,,,,,,,,,,,,,,
804,mineral water,low fat yogurt,,,,,,,,,,,,,,,,,,
4817,burgers,french fries,,,,,,,,,,,,,,,,,,
5687,fresh tuna,frozen vegetables,chocolate,milk,fromage blanc,honey,french fries,frozen smoothie,energy drink,,,,,,,,,,,
5458,chocolate,shrimp,frozen vegetables,tomatoes,mineral water,honey,,,,,,,,,,,,,,
6417,milk,energy drink,,,,,,,,,,,,,,,,,,
3913,ground beef,spaghetti,mineral water,almonds,eggs,cereals,green tea,,,,,,,,,,,,,
6172,cookies,,,,,,,,,,,,,,,,,,,
5195,antioxydant juice,chocolate,french fries,shallot,,,,,,,,,,,,,,,,
4991,shrimp,ground beef,mineral water,milk,olive oil,flax seed,eggs,light cream,cottage cheese,,,,,,,,,,,
949,french fries,,,,,,,,,,,,,,,,,,,
5940,spaghetti,,,,,,,,,,,,,,,,,,,
6137,chocolate,french fries,hot dogs,,,,,,,,,,,,,,,,,
4903,turkey,mineral water,chicken,yogurt cake,,,,,,,,,,,,,,,,
1553,burgers,chocolate,cake,cookies,green tea,,,,,,,,,,,,,,,
3302,grated cheese,ground beef,olive oil,pancakes,mushroom cream sauce,hot dogs,,,,,,,,,,,,,,
4120,turkey,burgers,eggs,french fries,pasta,green tea,,,,,,,,,,,,,,
175,ham,french wine,escalope,,,,,,,,,,,,,,,,,
596,avocado,energy bar,chocolate,,,,,,,,,,,,,,,,,
5111,energy bar,,,,,,,,,,,,,,,,,,,
6988,shrimp,meatballs,honey,eggplant,chocolate,sandwich,babies food,,,,,,,,,,,,,
6401,french fries,energy drink,,,,,,,,,,,,,,,,,,
2513,herb & pepper,,,,,,,,,,,,,,,,,,,
4876,chocolate,low fat yogurt,,,,,,,,,,,,,,,,,,
4155,red wine,cooking oil,french fries,,,,,,,,,,,,,,,,,
1966,tomatoes,spaghetti,olive oil,oil,,,,,,,,,,,,,,,,
6165,chocolate,herb & pepper,ground beef,mineral water,soup,milk,french wine,chicken,pancakes,whole weat flour,clothes accessories,fresh bread,,,,,,,,
7308,turkey,burgers,cake,,,,,,,,,,,,,,,,,
7206,mineral water,eggplant,cereals,antioxydant juice,,,,,,,,,,,,,,,,
6755,frozen vegetables,ground beef,mineral water,chocolate,soup,milk,green tea,,,,,,,,,,,,,
6930,burgers,eggs,french fries,,,,,,,,,,,,,,,,,
6623,spaghetti,mineral water,body spray,protein bar,,,,,,,,,,,,,,,,
5322,cookies,,,,,,,,,,,,,,,,,,,
5096,pancakes,cake,,,,,,,,,,,,,,,,,,
127,grated cheese,,,,,,,,,,,,,,,,,,,
4358,shrimp,tomatoes,ground beef,butter,green tea,toothpaste,,,,,,,,,,,,,,
4335,mineral water,,,,,,,,,,,,,,,,,,,
2455,french fries,,,,,,,,,,,,,,,,,,,
277,mineral water,,,,,,,,,,,,,,,,,,,
4359,cookies,,,,,,,,,,,,,,,,,,,
3399,spaghetti,,,,,,,,,,,,,,,,,,,
1639,burgers,whole wheat pasta,mineral water,milk,pancakes,,,,,,,,,,,,,,,
2771,cookies,energy drink,,,,,,,,,,,,,,,,,,
73,soup,eggs,,,,,,,,,,,,,,,,,,
350,spaghetti,green tea,,,,,,,,,,,,,,,,,,
3643,french fries,,,,,,,,,,,,,,,,,,,
1310,milk,pancakes,,,,,,,,,,,,,,,,,,
6142,hot dogs,,,,,,,,,,,,,,,,,,,
4298,cereals,champagne,,,,,,,,,,,,,,,,,,
3018,tomatoes,,,,,,,,,,,,,,,,,,,
6153,fresh tuna,red wine,mineral water,fromage blanc,eggs,cake,pet food,frozen smoothie,hot dogs,gluten free bar,,,,,,,,,,
5674,turkey,spaghetti,avocado,,,,,,,,,,,,,,,,,
1274,turkey,ground beef,eggs,burger sauce,chicken,barbecue sauce,cereals,fresh bread,,,,,,,,,,,,
3065,cookies,green tea,,,,,,,,,,,,,,,,,,
5245,shrimp,frozen vegetables,pepper,mineral water,pancakes,cereals,,,,,,,,,,,,,,
662,turkey,herb & pepper,frozen vegetables,ground beef,yams,mineral water,salmon,,,,,,,,,,,,,
3942,mint,,,,,,,,,,,,,,,,,,,
1759,pickles,shrimp,milk,cake,french fries,brownies,green tea,,,,,,,,,,,,,
7300,frozen vegetables,tomatoes,,,,,,,,,,,,,,,,,,
1863,turkey,burgers,spaghetti,french wine,eggs,,,,,,,,,,,,,,,
5684,milk,vegetables mix,french fries,,,,,,,,,,,,,,,,,
1100,burgers,tomatoes,ground beef,escalope,,,,,,,,,,,,,,,,
2602,ground beef,mineral water,eggs,,,,,,,,,,,,,,,,,
1873,tomatoes,cake,,,,,,,,,,,,,,,,,,
4583,energy bar,,,,,,,,,,,,,,,,,,,
2749,frozen smoothie,strawberries,,,,,,,,,,,,,,,,,,
5839,french fries,escalope,,,,,,,,,,,,,,,,,,
3596,meatballs,cake,,,,,,,,,,,,,,,,,,
5205,chocolate,ground beef,spaghetti,mineral water,salmon,eggs,cooking oil,french fries,,,,,,,,,,,,
4470,shrimp,ground beef,salmon,strawberries,,,,,,,,,,,,,,,,
2950,avocado,frozen smoothie,energy drink,,,,,,,,,,,,,,,,,
1786,eggs,chicken,whole weat flour,strawberries,low fat yogurt,,,,,,,,,,,,,,,
7191,frozen vegetables,mineral water,milk,olive oil,vegetables mix,eggs,brownies,low fat yogurt,candy bars,,,,,,,,,,,
7268,pickles,,,,,,,,,,,,,,,,,,,
4375,milk,eggs,,,,,,,,,,,,,,,,,,
7432,gums,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,,,
1975,protein bar,,,,,,,,,,,,,,,,,,,
5621,grated cheese,herb & pepper,parmesan cheese,spaghetti,extra dark chocolate,french fries,,,,,,,,,,,,,,
6120,herb & pepper,black tea,escalope,,,,,,,,,,,,,,,,,
4430,mineral water,chicken,chocolate,escalope,,,,,,,,,,,,,,,,
5315,escalope,pasta,,,,,,,,,,,,,,,,,,
7356,chocolate,,,,,,,,,,,,,,,,,,,
1749,spaghetti,mineral water,milk,corn,,,,,,,,,,,,,,,,
1705,ground beef,vegetables mix,honey,tomato juice,,,,,,,,,,,,,,,,
5427,french fries,frozen smoothie,,,,,,,,,,,,,,,,,,
806,yams,avocado,bacon,oil,french fries,brownies,pancakes,zucchini,green tea,,,,,,,,,,,
2074,grated cheese,herb & pepper,mineral water,flax seed,pancakes,frozen smoothie,sandwich,hot dogs,brownies,,,,,,,,,,,
3076,frozen vegetables,ground beef,mineral water,milk,eggs,brownies,fresh bread,low fat yogurt,,,,,,,,,,,,
4181,escalope,,,,,,,,,,,,,,,,,,,
1829,burgers,mineral water,escalope,,,,,,,,,,,,,,,,,
2443,cake,french fries,,,,,,,,,,,,,,,,,,
6201,escalope,,,,,,,,,,,,,,,,,,,
2750,pickles,tomatoes,spaghetti,pancakes,cooking oil,escalope,low fat yogurt,,,,,,,,,,,,,
556,milk,energy drink,,,,,,,,,,,,,,,,,,
1835,chocolate,frozen smoothie,,,,,,,,,,,,,,,,,,
6014,green tea,,,,,,,,,,,,,,,,,,,
6925,muffins,,,,,,,,,,,,,,,,,,,
1185,frozen vegetables,tomatoes,parmesan cheese,muffins,spinach,eggs,cake,french fries,champagne,hot dogs,cottage cheese,strawberries,energy drink,fresh bread,candy bars,,,,,
1906,spaghetti,olive oil,,,,,,,,,,,,,,,,,,
6824,chocolate,cake,,,,,,,,,,,,,,,,,,
1654,fresh tuna,frozen vegetables,strong cheese,cottage cheese,tomato juice,low fat yogurt,,,,,,,,,,,,,,
2348,burgers,milk,eggs,cake,clothes accessories,french fries,,,,,,,,,,,,,,
6129,escalope,pasta,green tea,,,,,,,,,,,,,,,,,
4939,pepper,spaghetti,eggs,green tea,yogurt cake,,,,,,,,,,,,,,,
6005,french fries,,,,,,,,,,,,,,,,,,,
220,mineral water,,,,,,,,,,,,,,,,,,,
714,chocolate,spaghetti,bug spray,,,,,,,,,,,,,,,,,
4886,spaghetti,mineral water,milk,eggs,salad,tomato juice,,,,,,,,,,,,,,
5936,spaghetti,mineral water,salmon,green grapes,chili,french fries,fresh bread,zucchini,,,,,,,,,,,,
1888,avocado,eggs,chocolate,energy drink,,,,,,,,,,,,,,,,
2707,butter,cookies,,,,,,,,,,,,,,,,,,
1075,oil,salt,low fat yogurt,,,,,,,,,,,,,,,,,
3332,strawberries,,,,,,,,,,,,,,,,,,,
4981,muffins,whole wheat rice,,,,,,,,,,,,,,,,,,
4194,escalope,,,,,,,,,,,,,,,,,,,
517,burgers,ham,frozen vegetables,tomatoes,cake,chicken,green tea,toothpaste,mint,,,,,,,,,,,
1558,eggs,frozen smoothie,,,,,,,,,,,,,,,,,,
7408,low fat yogurt,,,,,,,,,,,,,,,,,,,
6089,escalope,,,,,,,,,,,,,,,,,,,
6941,babies food,fresh bread,,,,,,,,,,,,,,,,,,
1725,chocolate,,,,,,,,,,,,,,,,,,,
7302,green grapes,french fries,,,,,,,,,,,,,,,,,,
4713,fresh tuna,mineral water,avocado,eggs,champagne,brownies,,,,,,,,,,,,,,
5666,green tea,,,,,,,,,,,,,,,,,,,
5529,olive oil,chutney,yogurt cake,,,,,,,,,,,,,,,,,
4258,avocado,whole wheat rice,,,,,,,,,,,,,,,,,,
3304,red wine,frozen vegetables,tomatoes,ground beef,pet food,french fries,brownies,low fat yogurt,green tea,,,,,,,,,,,
7043,hot dogs,,,,,,,,,,,,,,,,,,,
2687,whole wheat pasta,mineral water,vegetables mix,green grapes,eggs,french fries,green tea,,,,,,,,,,,,,
6106,tomatoes,salt,fresh bread,,,,,,,,,,,,,,,,,
5347,pepper,olive oil,green tea,frozen smoothie,zucchini,,,,,,,,,,,,,,,
6265,parmesan cheese,,,,,,,,,,,,,,,,,,,
2248,energy drink,,,,,,,,,,,,,,,,,,,
5746,shrimp,frozen vegetables,eggs,oil,barbecue sauce,chili,whole weat flour,french fries,cookies,brownies,pancakes,energy drink,salt,,,,,,,
182,pancakes,whole wheat rice,candy bars,,,,,,,,,,,,,,,,,
5308,herb & pepper,eggs,cookies,fresh bread,,,,,,,,,,,,,,,,
7218,mineral water,energy bar,,,,,,,,,,,,,,,,,,
5664,energy bar,,,,,,,,,,,,,,,,,,,
6163,mineral water,eggs,protein bar,fresh bread,low fat yogurt,,,,,,,,,,,,,,,
5613,grated cheese,tomato sauce,mineral water,milk,olive oil,salmon,oil,shallot,,,,,,,,,,,,
4802,tomatoes,cake,cooking oil,,,,,,,,,,,,,,,,,
2305,eggs,,,,,,,,,,,,,,,,,,,
5047,spaghetti,fresh bread,,,,,,,,,,,,,,,,,,
1818,whole weat flour,cereals,honey,,,,,,,,,,,,,,,,,
5569,burgers,herb & pepper,ground beef,spaghetti,soup,cereals,french fries,brownies,,,,,,,,,,,,
1166,grated cheese,herb & pepper,spaghetti,milk,green tea,,,,,,,,,,,,,,,
2344,cake,french fries,,,,,,,,,,,,,,,,,,
439,energy drink,,,,,,,,,,,,,,,,,,,
6219,mineral water,,,,,,,,,,,,,,,,,,,
1493,mineral water,chocolate,fresh bread,,,,,,,,,,,,,,,,,
2354,escalope,low fat yogurt,,,,,,,,,,,,,,,,,,
5309,shrimp,tomatoes,honey,whole wheat rice,cake,brownies,,,,,,,,,,,,,,
497,frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,
5512,french fries,,,,,,,,,,,,,,,,,,,
3136,spaghetti,mineral water,spinach,,,,,,,,,,,,,,,,,
3378,spaghetti,,,,,,,,,,,,,,,,,,,
5100,grated cheese,frozen vegetables,milk,chicken,chocolate,,,,,,,,,,,,,,,
7014,red wine,black tea,french wine,extra dark chocolate,ham,salt,,,,,,,,,,,,,,
5095,turkey,herb & pepper,tomatoes,ground beef,spaghetti,soup,milk,cooking oil,chicken,,,,,,,,,,,
5843,grated cheese,herb & pepper,ground beef,spaghetti,mineral water,pancakes,rice,chicken,frozen smoothie,escalope,protein bar,low fat yogurt,,,,,,,,
5399,frozen vegetables,barbecue sauce,chocolate bread,,,,,,,,,,,,,,,,,
726,mineral water,almonds,pancakes,chocolate,french fries,green tea,,,,,,,,,,,,,,
2142,mineral water,whole wheat rice,pancakes,mayonnaise,low fat yogurt,,,,,,,,,,,,,,,
4929,ground beef,pepper,mineral water,olive oil,carrots,,,,,,,,,,,,,,,
6451,cookies,hot dogs,,,,,,,,,,,,,,,,,,
6471,turkey,burgers,grated cheese,herb & pepper,red wine,frozen vegetables,ground beef,mineral water,milk,cider,eggs,cake,escalope,cookies,low fat yogurt,,,,,
6080,yams,frozen smoothie,hot dogs,,,,,,,,,,,,,,,,,
1600,strawberries,,,,,,,,,,,,,,,,,,,
26,sparkling water,,,,,,,,,,,,,,,,,,,
709,honey,,,,,,,,,,,,,,,,,,,
5206,french fries,champagne,,,,,,,,,,,,,,,,,,
5186,rice,,,,,,,,,,,,,,,,,,,
249,pepper,mineral water,energy bar,green grapes,,,,,,,,,,,,,,,,
2114,burgers,,,,,,,,,,,,,,,,,,,
2321,burgers,eggs,,,,,,,,,,,,,,,,,,
4067,cookies,,,,,,,,,,,,,,,,,,,
3855,mineral water,chocolate,black tea,,,,,,,,,,,,,,,,,
673,turkey,french fries,,,,,,,,,,,,,,,,,,
3968,mineral water,chicken,magazines,,,,,,,,,,,,,,,,,
2968,champagne,energy drink,,,,,,,,,,,,,,,,,,
7497,chicken,,,,,,,,,,,,,,,,,,,
6586,cottage cheese,,,,,,,,,,,,,,,,,,,
2404,chocolate,butter,salmon,muffins,carrots,escalope,low fat yogurt,green tea,,,,,,,,,,,,
4119,burgers,red wine,shrimp,mineral water,milk,honey,,,,,,,,,,,,,,
1623,fresh tuna,mineral water,cider,eggs,brownies,low fat yogurt,,,,,,,,,,,,,,
1979,mineral water,milk,oil,chocolate,escalope,hot dogs,yogurt cake,,,,,,,,,,,,,
6170,ground beef,mineral water,energy bar,bug spray,,,,,,,,,,,,,,,,
1761,whole wheat pasta,avocado,olive oil,chocolate,french fries,frozen smoothie,champagne,,,,,,,,,,,,,
5013,tomatoes,ground beef,spaghetti,mineral water,chocolate,olive oil,almonds,pancakes,chili,green tea,protein bar,,,,,,,,,
222,cake,frozen smoothie,,,,,,,,,,,,,,,,,,
2469,eggs,whole wheat rice,,,,,,,,,,,,,,,,,,
3197,burgers,milk,champagne,mushroom cream sauce,green tea,,,,,,,,,,,,,,,
3068,tomatoes,milk,salmon,pancakes,honey,cottage cheese,,,,,,,,,,,,,,
727,cake,french fries,escalope,,,,,,,,,,,,,,,,,
3840,cookies,,,,,,,,,,,,,,,,,,,
6543,mineral water,chicken,strawberries,,,,,,,,,,,,,,,,,
2477,burgers,pickles,energy bar,pancakes,cake,hot dogs,,,,,,,,,,,,,,
5478,frozen vegetables,spaghetti,milk,,,,,,,,,,,,,,,,,
4627,frozen vegetables,tomatoes,mineral water,chicken,salmon,muffins,chocolate,green tea,,,,,,,,,,,,
2865,mineral water,milk,french fries,cookies,,,,,,,,,,,,,,,,
1405,turkey,red wine,,,,,,,,,,,,,,,,,,
1741,spaghetti,avocado,brownies,,,,,,,,,,,,,,,,,
6220,grated cheese,low fat yogurt,,,,,,,,,,,,,,,,,,
893,grated cheese,,,,,,,,,,,,,,,,,,,
2211,ground beef,spaghetti,salmon,,,,,,,,,,,,,,,,,
2511,red wine,candy bars,,,,,,,,,,,,,,,,,,
1685,escalope,green tea,,,,,,,,,,,,,,,,,,
5617,spaghetti,avocado,cookies,strawberries,zucchini,honey,,,,,,,,,,,,,,
2402,tomatoes,spaghetti,mineral water,olive oil,green tea,,,,,,,,,,,,,,,
2182,milk,cider,eggs,french fries,cookies,green tea,,,,,,,,,,,,,,
7053,mineral water,vegetables mix,honey,chocolate,french fries,light mayo,,,,,,,,,,,,,,
1643,eggs,whole wheat rice,chocolate,,,,,,,,,,,,,,,,,
6784,fresh tuna,tomatoes,ground beef,spaghetti,mineral water,olive oil,french wine,pancakes,cooking oil,,,,,,,,,,,
5287,burgers,eggs,french fries,,,,,,,,,,,,,,,,,
5557,pepper,spaghetti,strong cheese,chocolate,green tea,,,,,,,,,,,,,,,
2113,chocolate,pancakes,,,,,,,,,,,,,,,,,,
2773,milk,flax seed,antioxydant juice,mayonnaise,green tea,,,,,,,,,,,,,,,
2294,cookies,,,,,,,,,,,,,,,,,,,
4715,tomatoes,eggs,,,,,,,,,,,,,,,,,,
6653,honey,zucchini,,,,,,,,,,,,,,,,,,
932,champagne,,,,,,,,,,,,,,,,,,,
6907,chocolate,cake,cottage cheese,green tea,,,,,,,,,,,,,,,,
3796,red wine,,,,,,,,,,,,,,,,,,,
4658,red wine,pepper,muffins,champagne,green tea,,,,,,,,,,,,,,,
6095,cookies,,,,,,,,,,,,,,,,,,,
728,frozen vegetables,spaghetti,mineral water,milk,black tea,french wine,cider,chutney,salmon,,,,,,,,,,,
991,frozen vegetables,mineral water,pancakes,cake,tomato juice,,,,,,,,,,,,,,,
1951,ground beef,tomato sauce,spaghetti,milk,hot dogs,brownies,green tea,,,,,,,,,,,,,
5221,frozen vegetables,milk,eggs,,,,,,,,,,,,,,,,,
4537,burgers,milk,cereals,,,,,,,,,,,,,,,,,
242,escalope,pasta,,,,,,,,,,,,,,,,,,
3834,grated cheese,herb & pepper,red wine,spaghetti,mineral water,eggs,,,,,,,,,,,,,,
4425,eggs,carrots,,,,,,,,,,,,,,,,,,
2475,burgers,eggs,french fries,pancakes,,,,,,,,,,,,,,,,
6008,avocado,zucchini,,,,,,,,,,,,,,,,,,
3541,mineral water,chutney,,,,,,,,,,,,,,,,,,
75,mineral water,chocolate,low fat yogurt,,,,,,,,,,,,,,,,,
5890,grated cheese,escalope,hot dogs,protein bar,fresh bread,,,,,,,,,,,,,,,
2306,grated cheese,salmon,cake,champagne,,,,,,,,,,,,,,,,
6206,eggs,eggplant,cookies,brownies,low fat yogurt,,,,,,,,,,,,,,,
6076,cookies,,,,,,,,,,,,,,,,,,,
4108,herb & pepper,mineral water,soup,milk,french wine,pancakes,eggs,honey,oil,champagne,magazines,mayonnaise,,,,,,,,
3093,champagne,,,,,,,,,,,,,,,,,,,
7162,french fries,pancakes,light mayo,,,,,,,,,,,,,,,,,
5913,turkey,fresh tuna,herb & pepper,whole wheat pasta,spaghetti,mineral water,milk,pancakes,cake,french fries,escalope,mushroom cream sauce,zucchini,,,,,,,
3769,grated cheese,herb & pepper,,,,,,,,,,,,,,,,,,
7204,tomatoes,tomato juice,,,,,,,,,,,,,,,,,,
6963,turkey,mineral water,eggs,magazines,green tea,,,,,,,,,,,,,,,
6033,green grapes,hand protein bar,,,,,,,,,,,,,,,,,,
3924,frozen vegetables,parmesan cheese,ground beef,spaghetti,eggs,tea,escalope,,,,,,,,,,,,,
2110,mineral water,cider,,,,,,,,,,,,,,,,,,
5935,strong cheese,protein bar,,,,,,,,,,,,,,,,,,
771,spaghetti,strawberries,,,,,,,,,,,,,,,,,,
3146,tomatoes,muffins,escalope,,,,,,,,,,,,,,,,,
1609,mineral water,soup,milk,salmon,cooking oil,ketchup,cereals,eggplant,french fries,magazines,,,,,,,,,,
5996,strawberries,energy drink,,,,,,,,,,,,,,,,,,
3679,burgers,frozen vegetables,mineral water,milk,olive oil,honey,chocolate,,,,,,,,,,,,,
3563,spaghetti,eggs,whole wheat rice,honey,,,,,,,,,,,,,,,,
5414,frozen vegetables,milk,french fries,low fat yogurt,green tea,,,,,,,,,,,,,,,
6464,frozen vegetables,french wine,salmon,pancakes,gums,,,,,,,,,,,,,,,
2715,honey,escalope,,,,,,,,,,,,,,,,,,
4750,cookies,,,,,,,,,,,,,,,,,,,
5345,mineral water,cereals,,,,,,,,,,,,,,,,,,
5630,mineral water,energy bar,,,,,,,,,,,,,,,,,,
5485,shrimp,spaghetti,eggplant,chocolate,,,,,,,,,,,,,,,,
848,grated cheese,tomato sauce,spaghetti,milk,pancakes,energy drink,white wine,,,,,,,,,,,,,
7087,milk,olive oil,butter,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,
2411,spaghetti,mineral water,olive oil,flax seed,eggs,green tea,,,,,,,,,,,,,,
4256,ground beef,spaghetti,milk,eggs,chocolate,pancakes,fresh bread,,,,,,,,,,,,,
3032,energy bar,cottage cheese,,,,,,,,,,,,,,,,,,
6839,cookies,,,,,,,,,,,,,,,,,,,
4591,frozen vegetables,avocado,milk,almonds,chicken,eggs,whole wheat rice,green beans,frozen smoothie,,,,,,,,,,,
3844,whole wheat rice,,,,,,,,,,,,,,,,,,,
5410,mineral water,,,,,,,,,,,,,,,,,,,
5304,fresh tuna,,,,,,,,,,,,,,,,,,,
2081,spaghetti,,,,,,,,,,,,,,,,,,,
1394,light mayo,,,,,,,,,,,,,,,,,,,
6485,herb & pepper,shrimp,pancakes,hot dogs,cottage cheese,fresh bread,,,,,,,,,,,,,,
4888,spaghetti,mineral water,soup,olive oil,salmon,blueberries,gums,hot dogs,melons,,,,,,,,,,,
6868,herb & pepper,ground beef,spaghetti,honey,french fries,pancakes,low fat yogurt,,,,,,,,,,,,,
3158,vegetables mix,muffins,,,,,,,,,,,,,,,,,,
5438,shrimp,frozen vegetables,,,,,,,,,,,,,,,,,,
4077,melons,candy bars,,,,,,,,,,,,,,,,,,
3931,cottage cheese,light mayo,,,,,,,,,,,,,,,,,,
283,french fries,champagne,,,,,,,,,,,,,,,,,,
7144,burgers,frozen vegetables,tomatoes,strong cheese,muffins,eggs,french fries,yogurt cake,light mayo,green tea,,,,,,,,,,
911,gums,,,,,,,,,,,,,,,,,,,
5270,frozen vegetables,mineral water,fromage blanc,whole wheat rice,light cream,chicken,chocolate bread,antioxydant juice,,,,,,,,,,,,
6065,spaghetti,whole wheat rice,,,,,,,,,,,,,,,,,,
2258,cottage cheese,,,,,,,,,,,,,,,,,,,
7461,burgers,eggs,cake,cereals,,,,,,,,,,,,,,,,
1386,eggs,,,,,,,,,,,,,,,,,,,
5831,burgers,ham,chocolate,red wine,frozen vegetables,tomato sauce,spaghetti,muffins,honey,french fries,yogurt cake,salt,,,,,,,,
485,eggs,cookies,,,,,,,,,,,,,,,,,,
372,shrimp,whole wheat pasta,spaghetti,meatballs,chicken,frozen smoothie,tomato juice,,,,,,,,,,,,,
6891,cookies,,,,,,,,,,,,,,,,,,,
1231,spaghetti,oil,cooking oil,white wine,,,,,,,,,,,,,,,,
1353,eggs,cooking oil,low fat yogurt,,,,,,,,,,,,,,,,,
3019,eggs,,,,,,,,,,,,,,,,,,,
5278,frozen vegetables,mineral water,french fries,mushroom cream sauce,,,,,,,,,,,,,,,,
1014,mineral water,,,,,,,,,,,,,,,,,,,
5979,shrimp,oil,extra dark chocolate,light mayo,white wine,,,,,,,,,,,,,,,
7047,babies food,,,,,,,,,,,,,,,,,,,
145,yams,mineral water,soup,milk,pancakes,whole wheat rice,barbecue sauce,carrots,chocolate,champagne,,,,,,,,,,
6362,frozen vegetables,green grapes,,,,,,,,,,,,,,,,,,
4931,shrimp,frozen vegetables,mineral water,milk,olive oil,,,,,,,,,,,,,,,
7336,burgers,french fries,,,,,,,,,,,,,,,,,,
7307,chocolate,whole wheat pasta,salmon,green tea,magazines,,,,,,,,,,,,,,,
1039,cookies,,,,,,,,,,,,,,,,,,,
799,burgers,shrimp,whole wheat pasta,spaghetti,mineral water,milk,olive oil,chicken,salmon,pancakes,cake,,,,,,,,,
6293,frozen vegetables,mineral water,chocolate,french fries,,,,,,,,,,,,,,,,
2280,spaghetti,eggs,french fries,,,,,,,,,,,,,,,,,
3923,burger sauce,escalope,,,,,,,,,,,,,,,,,,
5884,herb & pepper,frozen vegetables,ground beef,spaghetti,soup,eggs,tea,chocolate,tomato juice,zucchini,,,,,,,,,,
165,turkey,herb & pepper,ground beef,soup,avocado,milk,black tea,eggs,barbecue sauce,carrots,cookies,tomato juice,fresh bread,,,,,,,
323,grated cheese,pepper,mineral water,chocolate,eggs,cake,mashed potato,tomato juice,,,,,,,,,,,,
2268,spaghetti,cake,light mayo,fresh bread,,,,,,,,,,,,,,,,
6690,whole wheat pasta,mineral water,,,,,,,,,,,,,,,,,,
6489,fresh tuna,french wine,cake,frozen smoothie,,,,,,,,,,,,,,,,
4232,turkey,chocolate,whole wheat rice,,,,,,,,,,,,,,,,,
3489,spaghetti,mineral water,chocolate,honey,green beans,french fries,body spray,pancakes,,,,,,,,,,,,
2298,cookies,,,,,,,,,,,,,,,,,,,
1601,muffins,,,,,,,,,,,,,,,,,,,
5767,burgers,chocolate,escalope,,,,,,,,,,,,,,,,,
3773,chocolate,french fries,,,,,,,,,,,,,,,,,,
70,burgers,escalope,shallot,,,,,,,,,,,,,,,,,
4159,burgers,french fries,yogurt cake,,,,,,,,,,,,,,,,,
384,french fries,salad,,,,,,,,,,,,,,,,,,
6893,whole wheat pasta,french fries,brownies,,,,,,,,,,,,,,,,,
2459,milk,,,,,,,,,,,,,,,,,,,
1973,energy bar,brownies,,,,,,,,,,,,,,,,,,
4756,turkey,red wine,parmesan cheese,spaghetti,mineral water,meatballs,olive oil,bacon,honey,blueberries,chocolate bread,hot dogs,brownies,pancakes,,,,,,
5258,mineral water,oatmeal,eggplant,brownies,,,,,,,,,,,,,,,,
7164,champagne,,,,,,,,,,,,,,,,,,,
2360,grated cheese,spaghetti,french fries,,,,,,,,,,,,,,,,,
2877,shrimp,black tea,pancakes,cake,oil,extra dark chocolate,carrots,clothes accessories,green tea,,,,,,,,,,,
3708,french fries,,,,,,,,,,,,,,,,,,,
7050,honey,,,,,,,,,,,,,,,,,,,
4973,burgers,grated cheese,frozen vegetables,ground beef,tomato sauce,mineral water,soup,milk,olive oil,strawberries,babies food,low fat yogurt,,,,,,,,
1142,oil,,,,,,,,,,,,,,,,,,,
1579,avocado,soda,,,,,,,,,,,,,,,,,,
